user_id,product_id,event_type,dwell_time,session_id,timestamp
USER_012,PROD_0003,add_to_cart,105,SESSION_0034,2026-08-25T04:27:15.174230
USER_028,PROD_0016,add_to_cart,5,SESSION_0016,2026-08-25T04:29:15.174230
USER_019,PROD_0013,completed,80,SESSION_0041,2026-08-25T04:44:15.174230
USER_003,PROD_0013,browse_products,73,SESSION_0034,2026-08-25T04:51:15.174230
USER_001,PROD_0009,try_ar,41,SESSION_0036,2026-08-25T05:02:15.174230
USER_004,PROD_0020,add_to_cart,110,SESSION_0044,2026-08-25T05:04:15.174230
USER_005,PROD_0017,landing,68,SESSION_0041,2026-08-25T05:06:15.174230
USER_028,PROD_0003,view_product,84,SESSION_0043,2026-08-25T05:07:15.174230
USER_003,PROD_0005,landing,21,SESSION_0006,2026-08-25T05:12:15.174230
USER_030,PROD_0018,completed,55,SESSION_0033,2026-08-25T05:14:15.174230
USER_013,PROD_0001,completed,10,SESSION_0020,2026-08-25T05:17:15.174230
USER_013,PROD_0016,payment,38,SESSION_0020,2026-08-25T05:27:15.174230
USER_027,PROD_0013,try_ar,48,SESSION_0015,2026-08-25T05:31:15.174230
USER_025,PROD_0007,landing,21,SESSION_0026,2026-08-25T05:31:15.174230
USER_014,PROD_0012,try_ar,94,SESSION_0035,2026-08-25T05:55:15.174230
USER_005,PROD_0016,payment,94,SESSION_0030,2026-08-25T06:10:15.174230
USER_012,PROD_0006,try_ar,1,SESSION_0046,2026-08-25T06:30:15.174230
USER_007,PROD_0012,view_product,0,SESSION_0032,2026-08-25T06:36:15.174230
USER_014,PROD_0015,view_product,47,SESSION_0045,2026-08-25T06:53:15.174230
USER_013,PROD_0005,try_ar,49,SESSION_0020,2026-08-25T07:02:15.174230
USER_012,PROD_0017,completed,116,SESSION_0050,2026-08-25T07:15:15.174230
USER_016,PROD_0006,try_ar,91,SESSION_0026,2026-08-25T07:21:15.174230
USER_025,PROD_0017,payment,26,SESSION_0006,2026-08-25T07:30:15.174230
USER_023,PROD_0011,landing,62,SESSION_0019,2026-08-25T07:39:15.174230
USER_006,PROD_0017,add_to_cart,49,SESSION_0037,2026-08-25T07:50:15.174230
USER_004,PROD_0018,browse_products,54,SESSION_0019,2026-08-25T07:50:15.174230
USER_002,PROD_0002,landing,118,SESSION_0010,2026-08-25T08:04:15.174230
USER_016,PROD_0012,view_product,117,SESSION_0039,2026-08-25T08:05:15.174230
USER_014,PROD_0014,try_ar,72,SESSION_0031,2026-08-25T08:19:15.174230
USER_024,PROD_0017,add_to_cart,30,SESSION_0009,2026-08-25T08:56:15.174230
USER_019,PROD_0004,checkout,73,SESSION_0035,2026-08-25T09:43:15.174230
USER_023,PROD_0007,payment,71,SESSION_0028,2026-08-25T10:01:15.174230
USER_022,PROD_0018,view_product,46,SESSION_0042,2026-08-25T10:10:15.174230
USER_007,PROD_0013,payment,60,SESSION_0040,2026-08-25T10:19:15.174230
USER_003,PROD_0020,landing,94,SESSION_0015,2026-08-25T10:26:15.174230
USER_010,PROD_0007,completed,23,SESSION_0046,2026-08-25T10:36:15.174230
USER_026,PROD_0005,landing,107,SESSION_0044,2026-08-25T10:40:15.174230
USER_015,PROD_0020,try_ar,1,SESSION_0040,2026-08-25T10:53:15.174230
USER_019,PROD_0019,landing,6,SESSION_0036,2026-08-25T10:55:15.174230
USER_014,PROD_0013,payment,84,SESSION_0011,2026-08-25T11:05:15.174230
USER_006,PROD_0013,browse_products,17,SESSION_0001,2026-08-25T11:09:15.174230
USER_022,PROD_0015,completed,97,SESSION_0007,2026-08-25T11:15:15.174230
USER_026,PROD_0019,payment,77,SESSION_0007,2026-08-25T11:34:15.174230
USER_022,PROD_0007,browse_products,62,SESSION_0033,2026-08-25T11:46:15.174230
USER_022,PROD_0003,view_product,30,SESSION_0010,2026-08-25T11:57:15.174230
USER_008,PROD_0018,view_product,115,SESSION_0021,2026-08-25T12:18:15.174230
USER_008,PROD_0015,payment,115,SESSION_0001,2026-08-25T12:21:15.174230
USER_013,PROD_0015,completed,86,SESSION_0009,2026-08-25T12:34:15.174230
USER_030,PROD_0019,add_to_cart,109,SESSION_0039,2026-08-25T12:38:15.174230
USER_005,PROD_0003,browse_products,15,SESSION_0001,2026-08-25T12:40:15.174230
USER_017,PROD_0002,try_ar,20,SESSION_0043,2026-08-25T12:56:15.174230
USER_007,PROD_0020,try_ar,72,SESSION_0031,2026-08-25T13:38:15.174230
USER_021,PROD_0014,payment,49,SESSION_0044,2026-08-25T13:40:15.174230
USER_013,PROD_0012,completed,103,SESSION_0020,2026-08-25T13:50:15.174230
USER_004,PROD_0020,landing,111,SESSION_0024,2026-08-25T13:53:15.174230
USER_021,PROD_0011,payment,87,SESSION_0049,2026-08-25T13:54:15.174230
USER_016,PROD_0020,try_ar,5,SESSION_0007,2026-08-25T14:03:15.174230
USER_027,PROD_0006,try_ar,66,SESSION_0004,2026-08-25T14:09:15.174230
USER_015,PROD_0019,view_product,113,SESSION_0045,2026-08-25T15:19:15.174230
USER_006,PROD_0014,landing,86,SESSION_0015,2026-08-25T15:28:15.174230
USER_013,PROD_0007,completed,111,SESSION_0003,2026-08-25T15:34:15.174230
USER_018,PROD_0009,landing,118,SESSION_0011,2026-08-25T15:44:15.174230
USER_030,PROD_0020,completed,25,SESSION_0033,2026-08-25T15:56:15.174230
USER_018,PROD_0020,landing,40,SESSION_0026,2026-08-25T15:58:15.174230
USER_006,PROD_0017,landing,45,SESSION_0037,2026-08-25T16:05:15.174230
USER_022,PROD_0020,browse_products,112,SESSION_0014,2026-08-25T16:20:15.174230
USER_019,PROD_0003,payment,66,SESSION_0023,2026-08-25T16:24:15.174230
USER_016,PROD_0014,add_to_cart,105,SESSION_0023,2026-08-25T16:46:15.174230
USER_029,PROD_0015,add_to_cart,17,SESSION_0009,2026-08-25T17:01:15.174230
USER_024,PROD_0002,checkout,21,SESSION_0048,2026-08-25T17:32:15.174230
USER_021,PROD_0020,landing,16,SESSION_0011,2026-08-25T17:59:15.174230
USER_020,PROD_0014,payment,2,SESSION_0034,2026-08-25T18:02:15.174230
USER_009,PROD_0003,payment,61,SESSION_0010,2026-08-25T18:10:15.174230
USER_011,PROD_0016,try_ar,18,SESSION_0028,2026-08-25T18:11:15.174230
USER_010,PROD_0011,payment,94,SESSION_0032,2026-08-25T18:15:15.174230
USER_030,PROD_0005,view_product,75,SESSION_0042,2026-08-25T18:21:15.174230
USER_004,PROD_0007,checkout,34,SESSION_0004,2026-08-25T18:22:15.174230
USER_022,PROD_0008,view_product,48,SESSION_0043,2026-08-25T18:47:15.174230
USER_015,PROD_0003,completed,26,SESSION_0003,2026-08-25T19:54:15.174230
USER_015,PROD_0002,try_ar,99,SESSION_0023,2026-08-25T20:03:15.174230
USER_007,PROD_0011,payment,110,SESSION_0032,2026-08-25T20:19:15.174230
USER_028,PROD_0019,view_product,13,SESSION_0032,2026-08-25T20:26:15.174230
USER_012,PROD_0008,add_to_cart,25,SESSION_0005,2026-08-25T20:27:15.174230
USER_028,PROD_0017,view_product,43,SESSION_0034,2026-08-25T20:30:15.174230
USER_014,PROD_0004,payment,91,SESSION_0011,2026-08-25T20:57:15.174230
USER_004,PROD_0001,checkout,87,SESSION_0039,2026-08-25T21:04:15.174230
USER_028,PROD_0001,browse_products,60,SESSION_0042,2026-08-25T21:51:15.174230
USER_007,PROD_0008,browse_products,9,SESSION_0035,2026-08-25T22:16:15.174230
USER_029,PROD_0011,view_product,57,SESSION_0036,2026-08-25T22:20:15.174230
USER_004,PROD_0020,payment,86,SESSION_0028,2026-08-25T22:30:15.174230
USER_028,PROD_0002,browse_products,40,SESSION_0024,2026-08-25T22:30:15.174230
USER_022,PROD_0016,try_ar,22,SESSION_0006,2026-08-25T22:35:15.174230
USER_030,PROD_0007,completed,9,SESSION_0009,2026-08-25T22:45:15.174230
USER_023,PROD_0014,payment,33,SESSION_0048,2026-08-25T22:49:15.174230
USER_002,PROD_0004,try_ar,77,SESSION_0001,2026-08-25T23:09:15.174230
USER_024,PROD_0015,checkout,8,SESSION_0005,2026-08-25T23:12:15.174230
USER_030,PROD_0020,browse_products,96,SESSION_0009,2026-08-25T23:20:15.174230
USER_004,PROD_0015,completed,75,SESSION_0019,2026-08-25T23:28:15.174230
USER_001,PROD_0016,add_to_cart,77,SESSION_0019,2026-08-25T23:49:15.174230
USER_017,PROD_0020,landing,30,SESSION_0012,2026-08-25T23:50:15.174230
USER_023,PROD_0019,view_product,102,SESSION_0018,2026-08-26T00:02:15.174230
USER_028,PROD_0012,view_product,80,SESSION_0039,2026-08-26T00:35:15.174230
USER_026,PROD_0013,browse_products,94,SESSION_0019,2026-08-26T00:44:15.174230
USER_015,PROD_0014,checkout,95,SESSION_0026,2026-08-26T00:53:15.174230
USER_013,PROD_0020,view_product,23,SESSION_0043,2026-08-26T01:08:15.174230
USER_009,PROD_0011,view_product,77,SESSION_0027,2026-08-26T01:30:15.174230
USER_025,PROD_0007,completed,4,SESSION_0020,2026-08-26T01:39:15.174230
USER_022,PROD_0005,checkout,92,SESSION_0040,2026-08-26T02:04:15.174230
USER_005,PROD_0006,payment,82,SESSION_0013,2026-08-26T02:12:15.174230
USER_018,PROD_0004,add_to_cart,21,SESSION_0015,2026-08-26T02:18:15.174230
USER_008,PROD_0004,try_ar,22,SESSION_0008,2026-08-26T02:19:15.174230
USER_008,PROD_0010,landing,81,SESSION_0032,2026-08-26T02:36:15.174230
USER_001,PROD_0012,view_product,22,SESSION_0040,2026-08-26T02:42:15.174230
USER_028,PROD_0004,landing,28,SESSION_0012,2026-08-26T03:01:15.174230
USER_020,PROD_0016,add_to_cart,14,SESSION_0017,2026-08-26T03:03:15.174230
USER_004,PROD_0007,browse_products,84,SESSION_0036,2026-08-26T03:03:15.174230
USER_027,PROD_0005,try_ar,39,SESSION_0006,2026-08-26T03:10:15.174230
USER_006,PROD_0006,completed,33,SESSION_0041,2026-08-26T03:18:15.174230
USER_015,PROD_0016,view_product,53,SESSION_0030,2026-08-26T03:24:15.174230
USER_002,PROD_0019,try_ar,15,SESSION_0045,2026-08-26T03:48:15.174230
USER_011,PROD_0018,payment,115,SESSION_0005,2026-08-26T04:08:15.174230
USER_022,PROD_0017,view_product,13,SESSION_0021,2026-08-26T04:11:15.174230
USER_017,PROD_0003,try_ar,92,SESSION_0042,2026-08-26T04:26:15.174230
USER_009,PROD_0012,landing,91,SESSION_0049,2026-08-26T04:56:15.174230
USER_021,PROD_0016,try_ar,108,SESSION_0034,2026-08-26T05:06:15.174230
USER_010,PROD_0005,try_ar,71,SESSION_0029,2026-08-26T05:07:15.174230
USER_014,PROD_0004,payment,97,SESSION_0001,2026-08-26T05:46:15.174230
USER_026,PROD_0004,payment,35,SESSION_0029,2026-08-26T06:00:15.174230
USER_002,PROD_0010,view_product,107,SESSION_0025,2026-08-26T06:15:15.174230
USER_007,PROD_0010,payment,8,SESSION_0037,2026-08-26T06:20:15.174230
USER_006,PROD_0007,completed,59,SESSION_0001,2026-08-26T06:23:15.174230
USER_025,PROD_0017,add_to_cart,43,SESSION_0004,2026-08-26T06:30:15.174230
USER_016,PROD_0019,try_ar,17,SESSION_0041,2026-08-26T06:36:15.174230
USER_006,PROD_0013,browse_products,0,SESSION_0004,2026-08-26T06:38:15.174230
USER_030,PROD_0005,browse_products,93,SESSION_0003,2026-08-26T06:49:15.174230
USER_022,PROD_0012,payment,81,SESSION_0022,2026-08-26T07:00:15.174230
USER_024,PROD_0013,browse_products,7,SESSION_0040,2026-08-26T07:16:15.174230
USER_012,PROD_0014,landing,49,SESSION_0001,2026-08-26T07:21:15.174230
USER_026,PROD_0009,payment,115,SESSION_0039,2026-08-26T07:37:15.174230
USER_012,PROD_0018,landing,9,SESSION_0011,2026-08-26T07:43:15.174230
USER_003,PROD_0013,completed,118,SESSION_0034,2026-08-26T07:52:15.174230
USER_023,PROD_0014,checkout,59,SESSION_0013,2026-08-26T08:01:15.174230
USER_024,PROD_0015,completed,48,SESSION_0045,2026-08-26T08:06:15.174230
USER_016,PROD_0016,checkout,68,SESSION_0020,2026-08-26T08:22:15.174230
USER_012,PROD_0004,add_to_cart,68,SESSION_0010,2026-08-26T08:25:15.174230
USER_016,PROD_0015,try_ar,15,SESSION_0012,2026-08-26T08:31:15.174230
USER_013,PROD_0003,add_to_cart,1,SESSION_0020,2026-08-26T08:34:15.174230
USER_006,PROD_0019,checkout,14,SESSION_0038,2026-08-26T08:45:15.174230
USER_006,PROD_0001,landing,118,SESSION_0017,2026-08-26T08:53:15.174230
USER_014,PROD_0019,add_to_cart,79,SESSION_0049,2026-08-26T09:54:15.174230
USER_024,PROD_0007,landing,1,SESSION_0017,2026-08-26T10:11:15.174230
USER_021,PROD_0017,try_ar,30,SESSION_0003,2026-08-26T10:13:15.174230
USER_023,PROD_0010,view_product,59,SESSION_0015,2026-08-26T10:26:15.174230
USER_019,PROD_0010,try_ar,115,SESSION_0019,2026-08-26T10:43:15.174230
USER_001,PROD_0016,payment,102,SESSION_0014,2026-08-26T10:58:15.174230
USER_030,PROD_0002,completed,17,SESSION_0032,2026-08-26T11:26:15.174230
USER_028,PROD_0018,landing,6,SESSION_0034,2026-08-26T11:36:15.174230
USER_028,PROD_0007,view_product,5,SESSION_0027,2026-08-26T12:14:15.174230
USER_028,PROD_0010,landing,80,SESSION_0043,2026-08-26T12:33:15.174230
USER_009,PROD_0012,completed,69,SESSION_0025,2026-08-26T12:44:15.174230
USER_014,PROD_0009,landing,39,SESSION_0017,2026-08-26T12:52:15.174230
USER_005,PROD_0016,view_product,118,SESSION_0005,2026-08-26T13:04:15.174230
USER_018,PROD_0004,payment,96,SESSION_0035,2026-08-26T13:30:15.174230
USER_012,PROD_0009,view_product,94,SESSION_0023,2026-08-26T13:41:15.174230
USER_018,PROD_0003,checkout,2,SESSION_0026,2026-08-26T13:53:15.174230
USER_016,PROD_0020,landing,83,SESSION_0006,2026-08-26T14:15:15.174230
USER_027,PROD_0003,try_ar,62,SESSION_0048,2026-08-26T14:19:15.174230
USER_004,PROD_0018,checkout,3,SESSION_0032,2026-08-26T14:26:15.174230
USER_013,PROD_0008,payment,4,SESSION_0024,2026-08-26T15:08:15.174230
USER_011,PROD_0004,completed,69,SESSION_0032,2026-08-26T15:11:15.174230
USER_029,PROD_0003,completed,113,SESSION_0025,2026-08-26T15:37:15.174230
USER_019,PROD_0004,view_product,59,SESSION_0007,2026-08-26T15:52:15.174230
USER_012,PROD_0002,try_ar,5,SESSION_0048,2026-08-26T16:10:15.174230
USER_025,PROD_0019,landing,76,SESSION_0039,2026-08-26T16:15:15.174230
USER_030,PROD_0001,checkout,0,SESSION_0010,2026-08-26T16:29:15.174230
USER_027,PROD_0011,landing,7,SESSION_0029,2026-08-26T16:55:15.174230
USER_018,PROD_0002,completed,83,SESSION_0006,2026-08-26T16:58:15.174230
USER_016,PROD_0017,try_ar,64,SESSION_0018,2026-08-26T17:03:15.174230
USER_004,PROD_0013,landing,110,SESSION_0017,2026-08-26T17:24:15.174230
USER_030,PROD_0017,checkout,67,SESSION_0029,2026-08-26T17:35:15.174230
USER_011,PROD_0014,checkout,55,SESSION_0042,2026-08-26T17:48:15.174230
USER_003,PROD_0012,browse_products,26,SESSION_0028,2026-08-26T17:58:15.174230
USER_010,PROD_0017,landing,93,SESSION_0018,2026-08-26T18:14:15.174230
USER_020,PROD_0018,browse_products,15,SESSION_0011,2026-08-26T18:14:15.174230
USER_024,PROD_0002,view_product,68,SESSION_0047,2026-08-26T18:17:15.174230
USER_017,PROD_0003,add_to_cart,77,SESSION_0025,2026-08-26T18:29:15.174230
USER_015,PROD_0018,payment,43,SESSION_0032,2026-08-26T18:43:15.174230
USER_007,PROD_0008,landing,95,SESSION_0019,2026-08-26T18:52:15.174230
USER_025,PROD_0006,completed,74,SESSION_0024,2026-08-26T18:56:15.174230
USER_019,PROD_0009,checkout,117,SESSION_0037,2026-08-26T18:59:15.174230
USER_025,PROD_0013,completed,10,SESSION_0029,2026-08-26T19:17:15.174230
USER_027,PROD_0005,payment,23,SESSION_0014,2026-08-26T19:25:15.174230
USER_001,PROD_0007,add_to_cart,79,SESSION_0050,2026-08-26T19:27:15.174230
USER_001,PROD_0013,landing,49,SESSION_0021,2026-08-26T19:59:15.174230
USER_006,PROD_0013,landing,103,SESSION_0030,2026-08-26T20:08:15.174230
USER_024,PROD_0014,payment,115,SESSION_0043,2026-08-26T20:33:15.174230
USER_027,PROD_0004,completed,108,SESSION_0016,2026-08-26T20:40:15.174230
USER_007,PROD_0011,try_ar,28,SESSION_0008,2026-08-26T20:47:15.174230
USER_018,PROD_0017,view_product,100,SESSION_0028,2026-08-26T21:11:15.174230
USER_008,PROD_0005,browse_products,38,SESSION_0025,2026-08-26T21:40:15.174230
USER_002,PROD_0009,view_product,16,SESSION_0003,2026-08-26T21:57:15.174230
USER_009,PROD_0005,view_product,16,SESSION_0004,2026-08-26T22:00:15.174230
USER_007,PROD_0020,try_ar,43,SESSION_0004,2026-08-26T22:08:15.174230
USER_025,PROD_0015,browse_products,96,SESSION_0032,2026-08-26T22:32:15.174230
USER_018,PROD_0010,payment,120,SESSION_0007,2026-08-26T22:43:15.174230
USER_018,PROD_0019,view_product,44,SESSION_0036,2026-08-26T22:49:15.174230
USER_007,PROD_0020,landing,42,SESSION_0008,2026-08-26T22:51:15.174230
USER_017,PROD_0014,payment,57,SESSION_0050,2026-08-26T22:51:15.174230
USER_027,PROD_0008,completed,105,SESSION_0005,2026-08-26T22:52:15.174230
USER_008,PROD_0001,landing,50,SESSION_0020,2026-08-26T22:56:15.174230
USER_030,PROD_0008,checkout,64,SESSION_0045,2026-08-26T23:00:15.174230
USER_020,PROD_0012,view_product,107,SESSION_0010,2026-08-26T23:36:15.174230
USER_004,PROD_0014,try_ar,18,SESSION_0035,2026-08-26T23:41:15.174230
USER_017,PROD_0019,add_to_cart,3,SESSION_0009,2026-08-26T23:46:15.174230
USER_015,PROD_0008,completed,23,SESSION_0023,2026-08-27T00:01:15.174230
USER_013,PROD_0003,browse_products,43,SESSION_0009,2026-08-27T00:15:15.174230
USER_020,PROD_0011,browse_products,42,SESSION_0019,2026-08-27T00:15:15.174230
USER_023,PROD_0020,payment,25,SESSION_0005,2026-08-27T00:16:15.174230
USER_009,PROD_0005,payment,112,SESSION_0030,2026-08-27T00:16:15.174230
USER_005,PROD_0017,try_ar,79,SESSION_0041,2026-08-27T00:25:15.174230
USER_006,PROD_0002,checkout,57,SESSION_0032,2026-08-27T00:27:15.174230
USER_029,PROD_0015,payment,105,SESSION_0040,2026-08-27T00:30:15.174230
USER_009,PROD_0017,payment,3,SESSION_0015,2026-08-27T00:38:15.174230
USER_020,PROD_0002,completed,57,SESSION_0038,2026-08-27T00:42:15.174230
USER_001,PROD_0019,try_ar,79,SESSION_0012,2026-08-27T01:14:15.174230
USER_029,PROD_0020,landing,48,SESSION_0015,2026-08-27T01:17:15.174230
USER_027,PROD_0012,browse_products,30,SESSION_0032,2026-08-27T01:52:15.174230
USER_016,PROD_0020,completed,36,SESSION_0033,2026-08-27T02:19:15.174230
USER_006,PROD_0006,completed,65,SESSION_0028,2026-08-27T02:20:15.174230
USER_030,PROD_0010,completed,44,SESSION_0017,2026-08-27T02:24:15.174230
USER_028,PROD_0009,completed,50,SESSION_0030,2026-08-27T02:38:15.174230
USER_005,PROD_0005,checkout,100,SESSION_0002,2026-08-27T02:40:15.174230
USER_019,PROD_0013,payment,102,SESSION_0045,2026-08-27T03:16:15.174230
USER_021,PROD_0007,add_to_cart,15,SESSION_0020,2026-08-27T03:35:15.174230
USER_004,PROD_0017,landing,84,SESSION_0045,2026-08-27T04:15:15.174230
USER_025,PROD_0012,try_ar,0,SESSION_0024,2026-08-27T04:28:15.174230
USER_030,PROD_0007,browse_products,113,SESSION_0022,2026-08-27T04:29:15.174230
USER_017,PROD_0018,try_ar,32,SESSION_0036,2026-08-27T04:33:15.174230
USER_013,PROD_0006,payment,97,SESSION_0041,2026-08-27T04:49:15.174230
USER_018,PROD_0017,completed,46,SESSION_0019,2026-08-27T05:02:15.174230
USER_017,PROD_0014,try_ar,37,SESSION_0033,2026-08-27T05:03:15.174230
USER_002,PROD_0007,add_to_cart,119,SESSION_0030,2026-08-27T05:06:15.174230
USER_018,PROD_0005,checkout,93,SESSION_0020,2026-08-27T05:09:15.174230
USER_017,PROD_0003,payment,96,SESSION_0037,2026-08-27T05:12:15.174230
USER_009,PROD_0008,view_product,0,SESSION_0035,2026-08-27T05:18:15.174230
USER_024,PROD_0017,completed,56,SESSION_0029,2026-08-27T05:30:15.174230
USER_021,PROD_0004,add_to_cart,27,SESSION_0027,2026-08-27T05:50:15.174230
USER_011,PROD_0009,landing,68,SESSION_0030,2026-08-27T06:13:15.174230
USER_014,PROD_0009,view_product,19,SESSION_0038,2026-08-27T06:28:15.174230
USER_021,PROD_0002,add_to_cart,102,SESSION_0037,2026-08-27T06:35:15.174230
USER_024,PROD_0012,browse_products,88,SESSION_0009,2026-08-27T06:51:15.174230
USER_026,PROD_0016,payment,70,SESSION_0029,2026-08-27T06:57:15.174230
USER_010,PROD_0011,completed,7,SESSION_0002,2026-08-27T07:11:15.174230
USER_028,PROD_0019,try_ar,33,SESSION_0008,2026-08-27T07:28:15.174230
USER_019,PROD_0020,try_ar,74,SESSION_0039,2026-08-27T07:42:15.174230
USER_011,PROD_0001,completed,78,SESSION_0042,2026-08-27T07:49:15.174230
USER_024,PROD_0001,add_to_cart,71,SESSION_0002,2026-08-27T07:49:15.174230
USER_022,PROD_0015,landing,98,SESSION_0023,2026-08-27T07:59:15.174230
USER_003,PROD_0003,view_product,41,SESSION_0023,2026-08-27T08:27:15.174230
USER_002,PROD_0005,browse_products,94,SESSION_0011,2026-08-27T08:33:15.174230
USER_003,PROD_0006,landing,24,SESSION_0017,2026-08-27T08:42:15.174230
USER_009,PROD_0005,view_product,43,SESSION_0008,2026-08-27T09:07:15.174230
USER_023,PROD_0012,browse_products,23,SESSION_0050,2026-08-27T09:08:15.174230
USER_014,PROD_0013,completed,31,SESSION_0018,2026-08-27T09:10:15.174230
USER_017,PROD_0005,browse_products,63,SESSION_0050,2026-08-27T09:15:15.174230
USER_019,PROD_0015,view_product,53,SESSION_0050,2026-08-27T09:18:15.174230
USER_026,PROD_0004,completed,67,SESSION_0017,2026-08-27T09:41:15.174230
USER_007,PROD_0001,checkout,6,SESSION_0003,2026-08-27T09:48:15.174230
USER_026,PROD_0015,landing,103,SESSION_0017,2026-08-27T09:58:15.174230
USER_007,PROD_0019,completed,116,SESSION_0024,2026-08-27T10:01:15.174230
USER_030,PROD_0005,checkout,97,SESSION_0006,2026-08-27T10:14:15.174230
USER_013,PROD_0015,view_product,57,SESSION_0040,2026-08-27T10:17:15.174230
USER_017,PROD_0020,checkout,117,SESSION_0010,2026-08-27T10:22:15.174230
USER_009,PROD_0008,browse_products,16,SESSION_0045,2026-08-27T10:43:15.174230
USER_028,PROD_0002,payment,82,SESSION_0001,2026-08-27T10:53:15.174230
USER_002,PROD_0005,add_to_cart,90,SESSION_0021,2026-08-27T10:58:15.174230
USER_008,PROD_0010,payment,45,SESSION_0023,2026-08-27T11:20:15.174230
USER_024,PROD_0020,try_ar,81,SESSION_0038,2026-08-27T11:40:15.174230
USER_007,PROD_0012,checkout,79,SESSION_0012,2026-08-27T11:46:15.174230
USER_019,PROD_0009,completed,22,SESSION_0023,2026-08-27T12:15:15.174230
USER_016,PROD_0012,landing,69,SESSION_0047,2026-08-27T12:33:15.174230
